imdb_id,actor,director,crew_id,name,born_year,death_year,profession,known_for
tt0268220,S.N. Banerjee,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Kanu Roy,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Mridula Rani,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Jeevan Kala,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Rashid Khan,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,M.B. Shetty,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Keshav Rana,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Tun Tun,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Gautam Mukherjee,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0268220,Samson,nm0759662,nm0759662,Shakti Samanta,1926,2009,director|producer|writer,tt0065416|tt0246420|tt0066758|tt0068217
tt0056436,Meena Kumari,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Guru Dutt,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Rehman,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Waheeda Rehman,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Nasir Hussain,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Dhumal,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,D.K. Sapru,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Harindranath Chattopadhyay,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Pratima Devi,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Ranjit Kumari,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,S.N. Banerjee,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Krishan Dhawan,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Jawahar Kaul,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0056436,Vikram Kapoor,nm0023551,nm0023551,Abrar Alvi,1927,2009,writer|actor|director,tt0359496|tt0056436|tt0071811|tt0056379
tt0055039,Balraj Sahni,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Baby Sonu,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Usha Kiran,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Padma,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Laxmi,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Sarita Devi,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Anwari,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Leela Agha,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Baby Farida,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Nilambai,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Lata Sinha,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Manju,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Sajjan,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0055039,Asit Kumar Sen,nm0348472,nm0348472,Hemen Gupta,1912,1967,director|writer|producer,tt0215890|tt0215515|tt0215457|tt0055039
tt0379167,Rajendra Kumar,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Nalini Jaywant,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Nanda,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Radhakrishan,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Tiwari,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,S. Nazir,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Narbada Shankar,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Sarita,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Ravikant,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Lizzy,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0379167,Thomas,nm1467554,nm1467554,Prabhu,\N,\N,director|producer,tt0379167
tt0158585,Mala Sinha,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Shashi Kapoor,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Rehman,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Manmohan Krishna,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Indrani Mukherjee,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Tabassum,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Deven Verma,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Rohit,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Babloo,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Jagdish Raj,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Ranjit Sood,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Balam,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Nissar,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0158585,Munshi Munakka,nm0007181,nm0007181,Yash Chopra,1932,2012,producer|director|miscellaneous,tt0420332|tt0118983|tt0109555|tt0112870
tt0053706,Waheeda Rehman,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Guru Dutt,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Rehman,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Minoo Mumtaz,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Johnny Walker,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Mumtaz Begum,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Praveen Paul,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Naazi,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Noor Jehan,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Razia,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Zebunissa,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Tun Tun,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Farida Jalal,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0053706,Kesarbai,nm0755500,nm0755500,M. Sadiq,1910,1971,director|writer|producer,tt0144603|tt0134763|tt0139048|tt0053706
tt0055508,Anil Chatterjee,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Chandana Banerjee,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Nripati Chatterjee,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Khagen Pathak,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Gopal Sen,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Krishnakamal Bhattacharya,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Haridhan Nag,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Narayan Ghosh,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Batakrishna Nandan,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Haricharan Nag,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Khana Roy Chowdhury,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Kali Bannerjee,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Kanika Majumdar,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0055508,Kumar Roy,nm0006249,nm0006249,Satyajit Ray,1921,1992,writer|composer|director,tt0048473|tt0048956|tt0057935|tt0060742
tt0053965,Raj Kapoor,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Padmini,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Pran,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Chanchal,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Lalita Pawar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Tiwari,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Nana Palsikar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.B. Nayampalli,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Sulochana Chatterjee,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Vishwa Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Baburao Pahelwan,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.K. Singh,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Ratan Gaurang,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Kapoor,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Padmini,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Pran,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Chanchal,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Lalita Pawar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Tiwari,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Nana Palsikar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.B. Nayampalli,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Sulochana Chatterjee,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Vishwa Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Baburao Pahelwan,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.K. Singh,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Ratan Gaurang,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Kapoor,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Padmini,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Pran,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Chanchal,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Lalita Pawar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Tiwari,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Nana Palsikar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.B. Nayampalli,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Sulochana Chatterjee,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Vishwa Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Baburao Pahelwan,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.K. Singh,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Ratan Gaurang,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Kapoor,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Padmini,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Pran,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Chanchal,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Lalita Pawar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Raj Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Tiwari,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Nana Palsikar,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.B. Nayampalli,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Sulochana Chatterjee,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Vishwa Mehra,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Baburao Pahelwan,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,S.K. Singh,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053965,Ratan Gaurang,nm0439731,nm0439731,Radhu Karmakar,\N,\N,cinematographer|director,tt0048613|tt0078204|tt0053965|tt0066070
tt0053985,Rajendra Kumar,nm0159148,nm0159148,B.R. Chopra,1914,2008,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
tt0053985,Ashok Kumar,nm0159148,nm0159148,B.R. Chopra,1914,2008,producer|director|writer,tt0057120|tt0053985|tt0337578|tt0052154
